Time,MagX,MagY,MagZ,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,Roll,Pitch,Yaw,Temp Hum
2021-10-24-08:46:27.106240,-45.375,84.0,169.0,-68,-4688,15994,1,1,1,1.0108657960639487,7.950765483115891,177.43659787379443,24.836044311523438,41.13006591796875
2021-10-24-08:46:27.634333,-45.875,85.5,171.375,-47,-4702,15967,3,1,0,1.6917735968851326,12.43603165999724,175.28323006371346,24.828033447265625,41.1407470703125
2021-10-24-08:46:28.152659,-47.0,85.125,168.625,-51,-4661,15998,1,1,-2,2.0959864095085314,15.1388783281544,173.24792724675356,24.846725463867188,41.1407470703125
2021-10-24-08:46:28.676996,-46.5,87.75,169.5,-46,-4678,16002,1,0,-1,2.2907846569462267,16.75075556375766,171.1783403860811,24.836044311523438,41.14532470703125
2021-10-24-08:46:29.196700,-44.75,83.0,174.0,-63,-4701,15975,0,0,0,2.008220938166932,17.297687254949118,169.30615316175138,24.828033447265625,41.14532470703125
2021-10-24-08:46:29.717670,-45.0,84.0,168.125,-45,-4694,15977,-1,2,-2,1.796864977608014,17.892963067398085,167.27730566697542,24.849395751953125,41.14227294921875
2021-10-24-08:46:30.237697,-49.5,86.625,168.625,-42,-4675,15988,1,2,0,1.5665268591347397,18.561541574037886,165.14772638683428,24.84405517578125,41.15142822265625
2021-10-24-08:46:30.757403,-43.875,87.75,168.0,-55,-4692,15971,1,1,0,1.2653152486580603,18.788380046597243,162.925283375673,24.828033447265625,41.1224365234375
2021-10-24-08:46:31.279075,-46.0,83.0,169.375,-57,-4692,15996,2,0,1,0.7284926354246013,18.790217564574156,160.84549710268706,24.854736328125,41.15447998046875
2021-10-24-08:46:31.796105,-47.125,85.125,170.875,-62,-4696,15977,1,1,0,0.218566681093261,18.901632272124584,158.67284918871184,24.854736328125,41.143798828125
2021-10-24-08:46:32.317050,-44.25,84.75,170.25,-77,-4673,15980,0,3,-1,-0.3002946430282052,18.86533620514736,156.46886936963804,24.838714599609375,41.14227294921875
2021-10-24-08:46:32.842234,-49.25,86.375,169.0,-59,-4702,15976,1,2,1,-0.8148349517508096,19.1446733075579,154.13214287543767,24.849395751953125,41.14532470703125
2021-10-24-08:46:33.366819,-46.25,87.375,168.25,-66,-4694,15984,2,0,-1,-1.3369265419381697,19.219886030468757,151.72476844363763,24.84405517578125,41.14990234375
2021-10-24-08:46:33.887027,-48.125,86.75,170.375,-55,-4670,15972,1,1,0,-1.9238095515122169,19.226807545178307,149.34636853944258,24.836044311523438,41.1651611328125
2021-10-24-08:46:34.410726,-50.0,84.75,162.5,-47,-4684,15992,1,0,-1,-2.5131529520182476,19.445677917771224,146.83200026748347,24.854736328125,41.1834716796875
2021-10-24-08:46:34.940521,-44.25,85.625,168.375,-68,-4675,15984,2,0,1,-3.1695653611210033,19.13149196007102,144.4363869106258,24.828033447265625,41.192626953125
2021-10-24-08:47:34.441403,-47.125,83.375,169.625,-45,-4664,15990,0,0,-1,0.9745966362997788,8.016833730974328,177.46186266038734,24.793319702148438,41.38031005859375
2021-10-24-08:47:34.963182,-46.5,86.375,170.5,-36,-4668,15991,1,0,-1,1.732548923497045,12.561328980508243,175.25936826999495,24.836044311523438,41.387939453125
2021-10-24-08:47:35.484231,-44.25,84.125,172.0,-39,-4669,15983,2,0,-1,2.0469236385558522,14.897058549713377,173.32231002504193,24.793319702148438,41.39556884765625
2021-10-24-08:47:36.004884,-49.5,85.0,172.125,-52,-4676,15990,0,1,1,2.1118655678160403,16.576436311499076,171.38338920915967,24.820022583007812,41.38641357421875
2021-10-24-08:47:36.527421,-43.25,83.75,169.125,-46,-4677,15989,2,0,0,2.037609140592701,17.321899939487352,169.41525248727947,24.81201171875,41.3909912109375
2021-10-24-08:47:37.047448,-46.5,84.75,171.375,-33,-4662,15995,2,1,-1,1.8273911418677329,17.888799466977922,167.42729506329212,24.838714599609375,41.39556884765625
2021-10-24-08:47:37.565947,-46.875,85.25,170.125,-32,-4664,16003,1,0,-1,1.5549625773066125,18.320542755462036,165.36912684931474,24.820022583007812,41.37420654296875
2021-10-24-08:47:38.088875,-44.5,84.375,167.0,-46,-4671,15986,1,1,1,1.2146398379892902,18.56182288131166,163.24971448066682,24.828033447265625,41.3848876953125
2021-10-24-08:47:38.608218,-47.0,84.875,168.375,-42,-4682,15991,2,1,-1,0.791468124474361,18.801669020150886,161.0930306703833,24.814682006835938,41.3970947265625
2021-10-24-08:47:39.138169,-47.875,86.0,170.0,-44,-4676,15995,0,1,0,0.3314445899983452,18.987258208276227,158.88842166137704,24.820022583007812,41.37725830078125
2021-10-24-08:47:39.670038,-44.375,85.375,168.5,-49,-4671,15985,0,1,0,-0.16569909343911002,18.97044426195962,156.6445693826231,24.82269287109375,41.3787841796875
2021-10-24-08:47:40.206247,-46.125,86.0,169.625,-49,-4671,16003,0,2,0,-0.6929151744246451,19.01695980281664,154.35922905919838,24.82269287109375,41.3787841796875
2021-10-24-08:47:40.726818,-44.875,83.875,172.625,-39,-4669,16008,2,1,-1,-1.3222936919163966,18.80374148483415,152.16436339602117,24.838714599609375,41.38641357421875
2021-10-24-08:47:41.246024,-45.75,85.875,166.875,-38,-4672,15986,2,0,-1,-1.8558901680619042,18.92815487541251,149.75179577439943,24.836044311523438,41.387939453125
2021-10-24-08:47:41.767312,-46.75,84.625,169.625,-39,-4669,15993,2,1,0,-2.4749417648790706,18.893211793974327,147.40699453477293,24.814682006835938,41.387939453125
2021-10-24-08:47:42.288918,-46.75,83.5,169.875,-57,-4672,15995,3,-1,0,-3.125550629620412,18.799794354141515,145.07678606051266,24.820022583007812,41.375732421875
2021-10-24-08:47:45.072595,-45.375,84.625,171.375,-45,-4690,15993,1,2,0,-3.789761951902002,18.620055380132467,142.71906279458693,24.82269287109375,41.3787841796875
2021-10-24-08:47:45.568412,-46.25,85.875,170.625,-44,-4661,15985,3,0,-1,-4.411234398729088,18.53647037733936,140.27870291935463,24.830703735351562,41.3787841796875
